ano,parto,regiao,uf,grupo,criticidade,records
2014,CESARIANO,Norte,RO,3,2,92
2015,CESARIANO,Sudeste,RJ,4,1,92
2016,CESARIANO,Centro-Oeste,MT,1,2,92
2018,NORMAL,Centro-Oeste,MT,1,2,92
2019,CESARIANO,Nordeste,RN,5,2,92
2019,CESARIANO,Norte,RO,2,2,92
2010,NORMAL,Nordeste,AL,3,2,91
2010,NORMAL,Nordeste,MA,2,2,91
2012,CESARIANO,Nordeste,CE,3,2,91
2012,NORMAL,Centro-Oeste,MS,3,2,91
2013,NORMAL,Norte,RO,2,2,91
2015,CESARIANO,Centro-Oeste,MT,1,2,91
2017,CESARIANO,Norte,RO,1,2,91
2011,NORMAL,Norte,AC,1,2,90
2012,CESARIANO,Norte,AM,1,1,90
2012,NORMAL,Sudeste,ES,0,2,90
2014,NORMAL,Sudeste,ES,5,2,90
2015,NORMAL,Sudeste,MG,4,2,90
2016,CESARIANO,Nordeste,BA,2,2,90
2016,NORMAL,Nordeste,BA,2,2,90
2011,NORMAL,Nordeste,AL,3,2,89
2011,NORMAL,Nordeste,BA,2,2,89
2012,CESARIANO,Sudeste,ES,0,2,89
2014,NORMAL,Sul,PR,2,2,89
2015,CESARIANO,Nordeste,CE,3,2,89
2018,NORMAL,Centro-Oeste,GO,4,2,89
2019,CESARIANO,Nordeste,BA,2,2,89
2019,CESARIANO,Norte,RO,1,2,89
2019,NORMAL,Sul,SC,0,0,88
2010,CESARIANO,Nordeste,RN,3,2,87
2015,NORMAL,Centro-Oeste,MT,1,2,87
2018,NORMAL,Centro-Oeste,GO,4,1,87
2019,NORMAL,Centro-Oeste,MT,1,2,87
2011,NORMAL,Centro-Oeste,MS,3,2,86
2012,NORMAL,Nordeste,MA,2,2,86
2014,CESARIANO,Nordeste,BA,5,2,86
2014,NORMAL,Centro-Oeste,GO,4,1,86
2016,NORMAL,Norte,AC,1,2,85
2018,CESARIANO,Norte,AP,1,2,85
2011,CESARIANO,Norte,AM,1,1,84
2014,CESARIANO,Norte,RR,2,0,84
2019,NORMAL,Centro-Oeste,GO,1,2,84
2011,NORMAL,Norte,PA,2,2,83
2014,CESARIANO,Norte,AP,1,0,83
2017,NORMAL,Norte,AC,1,2,83
2019,CESARIANO,Norte,AM,4,2,83
2010,NORMAL,Norte,AP,1,2,82
2018,CESARIANO,Sudeste,ES,5,2,82
2010,CESARIANO,Nordeste,BA,5,2,81
2010,CESARIANO,Sudeste,RJ,5,2,81
2010,NORMAL,Centro-Oeste,MS,3,2,81
2019,CESARIANO,Nordeste,AL,3,2,81
2011,CESARIANO,Nordeste,BA,2,2,80
2011,CESARIANO,Sudeste,SP,2,2,80
2011,NORMAL,Sul,PR,5,2,80
2013,CESARIANO,Norte,AP,1,0,80
2013,CESARIANO,Sul,SC,0,2,80
2017,CESARIANO,Centro-Oeste,GO,4,1,80
2011,CESARIANO,Sudeste,RJ,5,2,79
2012,NORMAL,Norte,RO,2,2,79
2013,CESARIANO,Sudeste,SP,2,2,79
2010,NORMAL,Nordeste,PB,3,2,78
2012,CESARIANO,Nordeste,BA,2,2,78
2013,CESARIANO,Norte,PA,2,2,78
2013,NORMAL,Nordeste,AL,3,2,78
2013,NORMAL,Sul,PR,2,2,78
2017,CESARIANO,Centro-Oeste,GO,1,1,78
2017,CESARIANO,Sudeste,SP,2,2,78
2018,CESARIANO,Nordeste,BA,2,2,78
2018,CESARIANO,Nordeste,MA,4,2,78
2019,CESARIANO,Norte,AP,1,2,78
2019,CESARIANO,Sudeste,SP,2,2,78
2011,CESARIANO,Nordeste,CE,5,2,77
2011,CESARIANO,Nordeste,PB,3,2,77
2012,CESARIANO,Centro-Oeste,GO,4,1,77
2013,CESARIANO,Nordeste,PB,3,2,77
2015,CESARIANO,Sudeste,RJ,3,2,77
2015,CESARIANO,Sudeste,RJ,5,2,77
2016,CESARIANO,Nordeste,CE,3,2,77
2017,CESARIANO,Centro-Oeste,MT,1,2,77
2018,CESARIANO,Sudeste,SP,2,2,77
2010,CESARIANO,Nordeste,PB,3,2,76
2012,CESARIANO,Sudeste,SP,2,2,76
2013,NORMAL,Sudeste,ES,5,2,76
2015,NORMAL,Nordeste,MA,4,2,76
2016,CESARIANO,Norte,PA,2,2,76
2016,NORMAL,Sudeste,ES,5,2,76
2010,NORMAL,Sul,PR,5,2,75
2011,CESARIANO,Norte,AP,1,0,75
2012,CESARIANO,Nordeste,RN,3,2,75
2013,NORMAL,Nordeste,PB,3,2,75
2016,CESARIANO,Norte,RR,2,0,75
2017,CESARIANO,Nordeste,BA,2,2,75
2019,CESARIANO,Nordeste,MA,2,2,75
2010,CESARIANO,Norte,AM,1,1,74
2012,NORMAL,Nordeste,AL,3,2,74
2014,CESARIANO,Nordeste,CE,3,2,74
2015,CESARIANO,Sudeste,SP,2,2,74
2018,CESARIANO,Nordeste,RN,5,2,74
2010,NORMAL,Sul,PR,2,2,73
2011,NORMAL,Centro-Oeste,GO,4,1,73
2012,NORMAL,Sudeste,ES,5,2,73
2014,CESARIANO,Norte,PA,2,2,73
2015,CESARIANO,Norte,PA,4,2,73
