momento,parto,regiao,uf,grupo,criticidade,records
depois,CESARIANO,Nordeste,PB,1,1,10946
durante,CESARIANO,Centro-Oeste,MT,4,0,10881
durante,CESARIANO,Nordeste,BA,2,0,10822
durante,CESARIANO,Sudeste,ES,3,0,10773
antes,CESARIANO,Sudeste,MG,1,1,10738
depois,NORMAL,Nordeste,PB,1,1,10716
antes,CESARIANO,Nordeste,BA,3,0,10710
depois,NORMAL,Norte,PA,4,0,10692
durante,CESARIANO,Nordeste,AL,1,2,10643
antes,CESARIANO,Centro-Oeste,GO,3,0,10609
antes,NORMAL,Centro-Oeste,GO,5,0,10608
antes,NORMAL,Sudeste,RJ,3,0,10587
antes,NORMAL,Sudeste,SP,4,1,10451
antes,CESARIANO,Centro-Oeste,MT,2,0,10424
durante,CESARIANO,Nordeste,RN,3,0,10377
durante,CESARIANO,Nordeste,CE,3,0,10332
durante,NORMAL,Nordeste,SE,5,1,10252
depois,NORMAL,Nordeste,PI,1,0,10201
antes,CESARIANO,Sudeste,ES,5,0,10155
depois,CESARIANO,Nordeste,MA,1,1,10109
durante,CESARIANO,Sul,SC,5,1,10090
durante,CESARIANO,Sul,RS,3,2,10078
antes,NORMAL,Nordeste,PI,1,1,10071
antes,NORMAL,Nordeste,PE,1,2,9991
depois,NORMAL,Sudeste,SP,3,1,9984
antes,CESARIANO,Centro-Oeste,GO,5,0,9971
antes,CESARIANO,Nordeste,PI,1,0,9865
durante,CESARIANO,Nordeste,SE,1,1,9838
depois,NORMAL,Centro-Oeste,GO,5,0,9822
durante,CESARIANO,Sudeste,MG,2,1,9800
depois,NORMAL,Nordeste,PE,1,2,9747
depois,CESARIANO,Nordeste,RN,1,1,9741
depois,NORMAL,Nordeste,RN,5,0,9722
depois,CESARIANO,Nordeste,BA,3,0,9705
antes,NORMAL,Norte,PA,1,1,9685
depois,NORMAL,Sul,RS,3,1,9666
depois,CESARIANO,Nordeste,PI,1,1,9532
antes,CESARIANO,Sudeste,MG,2,0,9516
depois,CESARIANO,Nordeste,PI,1,0,9389
antes,CESARIANO,Nordeste,BA,5,0,9353
antes,NORMAL,Norte,RO,3,0,9343
depois,CESARIANO,Norte,PA,2,0,9305
durante,NORMAL,Sudeste,MG,4,0,9278
antes,CESARIANO,Norte,AM,1,0,9268
durante,NORMAL,Sudeste,SP,2,0,9268
antes,CESARIANO,Sul,SC,5,0,9232
depois,CESARIANO,Sudeste,RJ,3,0,9218
antes,NORMAL,Sudeste,RJ,4,0,9181
antes,NORMAL,Nordeste,SE,5,0,9175
durante,NORMAL,Norte,TO,2,0,9140
depois,NORMAL,Sul,SC,4,0,9116
depois,CESARIANO,Nordeste,PB,3,0,9103
durante,CESARIANO,Sudeste,MG,4,0,9052
depois,NORMAL,Sul,PR,5,1,9029
durante,NORMAL,Centro-Oeste,MT,1,0,9002
depois,CESARIANO,Nordeste,BA,5,0,8999
antes,CESARIANO,Nordeste,AL,1,0,8988
durante,CESARIANO,Norte,TO,2,0,8978
durante,NORMAL,Nordeste,CE,2,0,8969
durante,NORMAL,Norte,RO,2,0,8911
antes,NORMAL,Nordeste,RN,1,0,8894
antes,CESARIANO,Nordeste,PE,5,1,8890
durante,NORMAL,Sudeste,MG,5,1,8876
depois,CESARIANO,Nordeste,AL,1,0,8851
durante,NORMAL,Norte,PA,4,1,8817
durante,NORMAL,Norte,TO,3,0,8817
depois,CESARIANO,Sudeste,MG,2,0,8806
antes,NORMAL,Sul,SC,4,0,8803
depois,NORMAL,Centro-Oeste,MS,3,0,8778
antes,CESARIANO,Nordeste,PE,5,0,8744
durante,NORMAL,Nordeste,MA,4,1,8741
antes,NORMAL,Centro-Oeste,GO,2,2,8724
depois,CESARIANO,Centro-Oeste,GO,5,0,8723
depois,CESARIANO,Sudeste,RJ,4,0,8664
depois,CESARIANO,Nordeste,AL,3,0,8645
depois,NORMAL,Centro-Oeste,MT,4,0,8574
depois,NORMAL,Sudeste,RJ,3,0,8573
depois,CESARIANO,Nordeste,PE,5,0,8551
durante,CESARIANO,Nordeste,BA,3,1,8543
durante,CESARIANO,Nordeste,AL,3,1,8510
antes,CESARIANO,Nordeste,PI,3,0,8508
antes,NORMAL,Sul,PR,3,1,8398
antes,CESARIANO,Nordeste,PB,1,1,8367
depois,NORMAL,Sul,SC,3,1,8326
durante,NORMAL,Centro-Oeste,MT,2,1,8300
durante,CESARIANO,Nordeste,MA,1,2,8293
antes,NORMAL,Centro-Oeste,MT,4,0,8285
antes,NORMAL,Norte,AC,2,0,8266
depois,NORMAL,Nordeste,SE,1,2,8250
antes,NORMAL,Sudeste,MG,2,1,8242
durante,NORMAL,Sudeste,ES,3,0,8228
durante,CESARIANO,Nordeste,RN,1,2,8190
depois,NORMAL,Nordeste,PI,1,1,8130
durante,CESARIANO,Sul,SC,4,1,8125
durante,CESARIANO,Sudeste,RJ,4,0,8111
antes,CESARIANO,Sudeste,MG,3,1,8077
antes,NORMAL,Sudeste,MG,0,1,8055
durante,CESARIANO,Sudeste,RJ,3,0,8028
durante,NORMAL,Sudeste,SP,4,2,7995
antes,NORMAL,Sul,PR,5,1,7979
depois,NORMAL,Norte,PA,1,1,7950
depois,CESARIANO,Nordeste,BA,1,2,7945
antes,NORMAL,Sul,RS,5,1,7928
depois,CESARIANO,Sudeste,MG,3,1,7921
depois,NORMAL,Nordeste,SE,1,1,7909
antes,CESARIANO,Nordeste,PI,1,1,7898
antes,NORMAL,Nordeste,AL,3,0,7866
depois,CESARIANO,Nordeste,MA,4,0,7814
depois,NORMAL,Nordeste,RN,1,1,7798
durante,NORMAL,Nordeste,BA,5,1,7729
antes,NORMAL,Centro-Oeste,GO,2,0,7706
depois,NORMAL,Sudeste,RJ,4,0,7703
durante,CESARIANO,Sul,PR,4,0,7677
durante,CESARIANO,Norte,TO,4,0,7649
antes,NORMAL,Sul,RS,4,0,7645
antes,CESARIANO,Norte,PA,1,1,7629
antes,NORMAL,Nordeste,PB,1,0,7609
antes,CESARIANO,Nordeste,PE,1,2,7600
durante,NORMAL,Nordeste,PI,3,1,7553
durante,CESARIANO,Norte,AC,2,0,7545
antes,CESARIANO,Nordeste,BA,1,2,7521
antes,NORMAL,Nordeste,SE,1,2,7470
durante,NORMAL,Nordeste,AL,1,2,7345
antes,NORMAL,Nordeste,RN,1,1,7334
antes,NORMAL,Sudeste,SP,3,1,7310
durante,CESARIANO,Sudeste,SP,2,0,7249
durante,CESARIANO,Nordeste,SE,5,0,7084
durante,CESARIANO,Centro-Oeste,MT,1,0,7076
antes,CESARIANO,Sudeste,SP,3,1,7066
durante,CESARIANO,Sudeste,MG,5,1,7062
durante,CESARIANO,Norte,TO,3,0,7030
antes,NORMAL,Sudeste,ES,5,1,7019
depois,NORMAL,Sudeste,MG,0,1,7017
durante,CESARIANO,Nordeste,SE,1,0,7016
durante,CESARIANO,Nordeste,SE,1,2,7003
durante,NORMAL,Nordeste,AL,3,1,7002
durante,NORMAL,Norte,AP,2,1,6991
antes,CESARIANO,Nordeste,RN,5,0,6943
durante,NORMAL,Sul,PR,2,0,6936
antes,NORMAL,Nordeste,PE,3,0,6931
depois,CESARIANO,Centro-Oeste,MS,3,0,6923
depois,NORMAL,Nordeste,MA,1,2,6890
antes,NORMAL,Sudeste,ES,0,0,6882
depois,NORMAL,Norte,RO,3,0,6852
depois,CESARIANO,Sul,SC,5,0,6833
durante,NORMAL,Centro-Oeste,GO,3,1,6828
depois,CESARIANO,Norte,PA,1,1,6758
depois,NORMAL,Sul,SC,5,1,6719
antes,CESARIANO,Sudeste,SP,4,1,6718
antes,NORMAL,Sul,RS,3,1,6717
antes,CESARIANO,Sudeste,RJ,5,1,6707
depois,CESARIANO,Nordeste,RN,5,0,6692
durante,CESARIANO,Norte,AC,1,0,6659
durante,NORMAL,Centro-Oeste,GO,3,2,6639
depois,NORMAL,Nordeste,SE,5,0,6631
antes,CESARIANO,Sudeste,ES,5,1,6587
antes,NORMAL,Nordeste,PB,3,1,6563
durante,CESARIANO,Centro-Oeste,MT,2,1,6476
antes,CESARIANO,Nordeste,RN,1,0,6362
antes,NORMAL,Sul,SC,5,1,6341
depois,CESARIANO,Sudeste,SP,4,1,6336
antes,CESARIANO,Centro-Oeste,MS,3,0,6320
antes,CESARIANO,Sul,SC,4,0,6301
antes,NORMAL,Nordeste,MA,2,0,6279
depois,CESARIANO,Nordeste,PI,3,0,6271
depois,CESARIANO,Centro-Oeste,GO,2,2,6265
depois,CESARIANO,Nordeste,PB,1,0,6260
antes,NORMAL,Norte,RR,2,0,6209
antes,CESARIANO,Nordeste,RN,1,1,6191
depois,NORMAL,Centro-Oeste,GO,2,0,6181
depois,CESARIANO,Norte,AP,2,0,6180
depois,CESARIANO,Sul,PR,5,1,6175
durante,NORMAL,Norte,RR,2,1,6174
durante,CESARIANO,Sudeste,SP,5,2,6160
depois,NORMAL,Norte,RR,2,0,6155
depois,CESARIANO,Centro-Oeste,GO,2,0,6146
antes,NORMAL,Nordeste,MA,1,2,6142
durante,CESARIANO,Centro-Oeste,GO,3,2,6134
depois,NORMAL,Sul,RS,5,1,6105
depois,NORMAL,Sul,RS,4,0,6099
antes,CESARIANO,Nordeste,PB,1,0,6092
durante,NORMAL,Norte,TO,2,2,6022
depois,CESARIANO,Norte,PA,1,2,6013
antes,NORMAL,Nordeste,BA,3,1,5983
antes,CESARIANO,Sul,PR,3,1,5916
durante,NORMAL,Norte,TO,1,1,5868
antes,NORMAL,Nordeste,SE,1,0,5854
antes,NORMAL,Sul,SC,3,1,5758
depois,CESARIANO,Sul,SC,3,1,5751
depois,NORMAL,Norte,PA,1,2,5689
depois,CESARIANO,Sul,SC,4,0,5675
durante,NORMAL,Norte,TO,2,1,5621
antes,CESARIANO,Nordeste,AL,1,2,5610
