database,variavel,type,label,records
sih,CNES,group,2083876,47
sih,CNES,group,2083973,752
sih,CNES,group,2083981,21551
sih,CNES,group,2084023,1201
sih,CNES,group,2084058,4657
sih,CNES,group,2084074,132
sih,CNES,group,2084139,33
sih,CNES,group,2084163,26222
sih,CNES,group,2084171,10938
sih,CNES,group,2084228,7972
sih,CNES,group,2084414,11316
sih,CNES,group,2084422,2548
sih,CNES,group,2084430,2681
sih,CNES,group,2084473,10618
sih,CNES,group,2085194,7225
sih,CNES,group,2086050,12247
sih,CNES,group,2086271,12758
sih,CNES,group,2086336,4727
sih,CNES,group,2086719,71
sih,CNES,group,2087057,11896
sih,CNES,group,2087103,3617
sih,CNES,group,2087111,12906
sih,CNES,group,2087219,6374
sih,CNES,group,2087324,3366
sih,CNES,group,2087618,11337
sih,CNES,group,2087642,102
sih,CNES,group,2087715,13584
sih,CNES,group,2087804,21334
sih,CNES,group,2088193,6641
sih,CNES,group,2088487,2423
sih,CNES,group,2088495,2
sih,CNES,group,2088525,1318
sih,CNES,group,2089327,10405
sih,CNES,group,2089548,2325
sih,CNES,group,2090171,1130
sih,CNES,group,2090333,2129
sih,CNES,group,2090376,122
sih,CNES,group,2090619,1
sih,CNES,group,2090724,273
sih,CNES,group,2090961,4418
sih,CNES,group,2091097,43
sih,CNES,group,2091267,1484
sih,CNES,group,2091313,12664
sih,CNES,group,2091585,34483
sih,CNES,group,2091755,19145
sih,CNES,group,2092093,504
sih,CNES,group,2092107,6223
sih,CNES,group,2092298,11929
sih,CNES,group,2092395,3135
sih,CNES,group,2092611,8794
sih,CNES,group,2092638,1426
sih,CNES,group,2092980,1478
sih,CNES,group,2093022,18
sih,CNES,group,2093197,35
sih,CNES,group,2093227,939
sih,CNES,group,2093324,4880
sih,CNES,group,2093332,2562
sih,CNES,group,2093502,1182
sih,CNES,group,2095912,1137
sih,CNES,group,2096196,5544
sih,CNES,group,2096412,10
sih,CNES,group,2096463,9135
sih,CNES,group,2096617,385
sih,CNES,group,2097605,4295
sih,CNES,group,2097877,5787
sih,CNES,group,2098156,1353
sih,CNES,group,2098326,89
sih,CNES,group,2098369,10106
sih,CNES,group,2098407,1717
sih,CNES,group,2098474,891
sih,CNES,group,2098539,6456
sih,CNES,group,2098911,4939
sih,CNES,group,2098938,3
sih,CNES,group,2099209,1583
sih,CNES,group,2099217,456
sih,CNES,group,2099233,1928
sih,CNES,group,2099438,9
sih,CNES,group,2099454,2446
sih,CNES,group,2100363,827
sih,CNES,group,2100371,538
sih,CNES,group,2100398,105
sih,CNES,group,2100681,4314
sih,CNES,group,2100754,9444
sih,CNES,group,2101335,14
sih,CNES,group,2101432,378
sih,CNES,group,2101777,5714
sih,CNES,group,2101874,158
sih,CNES,group,2102404,564
sih,CNES,group,2102579,1218
sih,CNES,group,2102587,2682
sih,CNES,group,2102595,596
sih,CNES,group,2102714,17
sih,CNES,group,2102765,2849
sih,CNES,group,2102773,1642
sih,CNES,group,2102854,162
sih,CNES,group,2103222,26
sih,CNES,group,2103230,533
sih,CNES,group,2103257,3387
sih,CNES,group,2103532,769
sih,CNES,group,2103990,3722
sih,CNES,group,2104741,479
sih,CNES,group,2105365,3454
sih,CNES,group,2105780,7683
sih,CNES,group,2108933,304
sih,CNES,group,2108992,8713
sih,CNES,group,2109034,2075
sih,CNES,group,2109700,236
sih,CNES,group,2109727,8
sih,CNES,group,2111624,8594
sih,CNES,group,2111640,12055
sih,CNES,group,2111659,11689
sih,CNES,group,2112175,1117
sih,CNES,group,2112647,12
sih,CNES,group,2114143,1720
sih,CNES,group,2114267,99
sih,CNES,group,2114763,2351
sih,CNES,group,2115077,876
sih,CNES,group,2115786,2932
sih,CNES,group,2117037,7624
sih,CNES,group,2117096,1465
sih,CNES,group,2117282,219
sih,CNES,group,2117290,617
sih,CNES,group,2117312,3225
sih,CNES,group,2117479,1722
sih,CNES,group,2117568,826
sih,CNES,group,2118076,268
sih,CNES,group,2118092,720
sih,CNES,group,2118246,2036
sih,CNES,group,2118319,255
sih,CNES,group,2118459,273
sih,CNES,group,2118513,12507
sih,CNES,group,2118629,10015
sih,CNES,group,2118661,9053
sih,CNES,group,2119404,3398
sih,CNES,group,2119420,11959
sih,CNES,group,2119439,2287
sih,CNES,group,2119447,1524
sih,CNES,group,2119455,2431
sih,CNES,group,2119463,3164
sih,CNES,group,2119471,7161
sih,CNES,group,2119501,1247
sih,CNES,group,2119528,11728
sih,CNES,group,2120402,2063
sih,CNES,group,2120410,2455
sih,CNES,group,2120453,5
sih,CNES,group,2120542,1230
sih,CNES,group,2121409,1012
sih,CNES,group,2121514,1275
sih,CNES,group,2121808,1884
sih,CNES,group,2121921,2
sih,CNES,group,2122103,161
sih,CNES,group,2122618,946
sih,CNES,group,2122650,4803
sih,CNES,group,2122677,3543
sih,CNES,group,2122936,49
sih,CNES,group,2122987,29
sih,CNES,group,2123061,2311
sih,CNES,group,2123231,633
sih,CNES,group,2123436,11
sih,CNES,group,2123711,503
sih,CNES,group,2124289,1399
sih,CNES,group,2126494,14433
sih,CNES,group,2126508,26461
sih,CNES,group,2126559,3
sih,CNES,group,2126796,1049
sih,CNES,group,2126990,71
sih,CNES,group,2127091,106
sih,CNES,group,2127687,4855
sih,CNES,group,2127695,1786
sih,CNES,group,2127725,483
sih,CNES,group,2127733,849
sih,CNES,group,2127741,140
sih,CNES,group,2127768,17
sih,CNES,group,2127881,4107
sih,CNES,group,2127903,662
sih,CNES,group,2127911,3091
sih,CNES,group,2127938,13
sih,CNES,group,2127946,83
sih,CNES,group,2127989,11621
sih,CNES,group,2127997,13
sih,CNES,group,2128012,1537
sih,CNES,group,2128020,28
sih,CNES,group,2129469,9418
sih,CNES,group,2129566,10
sih,CNES,group,2132877,2579
sih,CNES,group,2134071,251
sih,CNES,group,2134268,4051
sih,CNES,group,2134276,6469
sih,CNES,group,2134292,562
sih,CNES,group,2134306,536
sih,CNES,group,2135108,3739
sih,CNES,group,2135116,6
sih,CNES,group,2135124,6425
sih,CNES,group,2135132,3
sih,CNES,group,2135140,791
sih,CNES,group,2135884,1018
sih,CNES,group,2135914,1561
sih,CNES,group,2135930,3095
sih,CNES,group,2135949,1107
sih,CNES,group,2136104,12
sih,CNES,group,2136139,190
sih,CNES,group,2136945,13440
sih,CNES,group,2138875,7836
sih,CNES,group,2139030,2726
sih,CNES,group,2139049,4821
sih,CNES,group,2139057,2113
sih,CNES,group,2139065,167
sih,CNES,group,2139073,5214
sih,CNES,group,2139081,67
sih,CNES,group,2139103,1280
sih,CNES,group,2139111,96
sih,CNES,group,2139138,924
sih,CNES,group,2139146,2061
sih,CNES,group,2139200,7154
sih,CNES,group,2139626,1214
sih,CNES,group,2140063,2015
sih,CNES,group,2140071,91
sih,CNES,group,2140098,8658
sih,CNES,group,2140179,560
sih,CNES,group,2140217,10055
sih,CNES,group,2142295,167
sih,CNES,group,2142376,5223
sih,CNES,group,2142406,1939
sih,CNES,group,2142627,1448
sih,CNES,group,2142937,19
sih,CNES,group,2143127,1369
sih,CNES,group,2143674,77
sih,CNES,group,2143801,9109
sih,CNES,group,2143852,1315
sih,CNES,group,2143895,554
sih,CNES,group,2144026,1912
sih,CNES,group,2144042,1170
sih,CNES,group,2144166,1537
sih,CNES,group,2144174,38
sih,CNES,group,2144182,68
sih,CNES,group,2144204,2463
sih,CNES,group,2144255,156
sih,CNES,group,2144298,4001
sih,CNES,group,2144522,40
sih,CNES,group,2144530,7314
sih,CNES,group,2144549,100
sih,CNES,group,2144557,1310
sih,CNES,group,2144565,19
sih,CNES,group,2144573,319
sih,CNES,group,2144611,138
sih,CNES,group,2144638,2938
sih,CNES,group,2144654,104
sih,CNES,group,2145685,2583
sih,CNES,group,2145960,6312
sih,CNES,group,2146355,18229
sih,CNES,group,2146398,133
sih,CNES,group,2146436,7
sih,CNES,group,2146444,204
sih,CNES,group,2146460,20
sih,CNES,group,2146479,259
sih,CNES,group,2146487,374
sih,CNES,group,2146495,930
sih,CNES,group,2146517,18
sih,CNES,group,2146525,6980
sih,CNES,group,2147823,1
sih,CNES,group,2147947,901
sih,CNES,group,2148293,14461
sih,CNES,group,2148463,537
sih,CNES,group,2148471,46
sih,CNES,group,2149419,1561
sih,CNES,group,2149710,2338
sih,CNES,group,2149990,27878
sih,CNES,group,2151820,3727
sih,CNES,group,2151847,109
sih,CNES,group,2153084,24514
sih,CNES,group,2153882,1853
sih,CNES,group,2154560,10198
sih,CNES,group,2154749,1100
sih,CNES,group,2157063,582
sih,CNES,group,2159252,15014
sih,CNES,group,2160498,153
sih,CNES,group,2160951,333
sih,CNES,group,2161354,9537
sih,CNES,group,2161575,232
sih,CNES,group,2161583,536
sih,CNES,group,2161702,471
sih,CNES,group,2161729,158
sih,CNES,group,2162377,99
sih,CNES,group,2163071,214
sih,CNES,group,2163829,4806
sih,CNES,group,2164299,4163
sih,CNES,group,2164493,15
sih,CNES,group,2164620,6451
sih,CNES,group,2164825,4134
sih,CNES,group,2166305,1158
sih,CNES,group,2167379,1567
sih,CNES,group,2167565,745
sih,CNES,group,2167573,801
sih,CNES,group,2167670,26
sih,CNES,group,2167727,617
sih,CNES,group,2168200,4
sih,CNES,group,2168243,2378
sih,CNES,group,2168421,553
sih,CNES,group,2168448,18
sih,CNES,group,2168553,2061
sih,CNES,group,2168626,555
sih,CNES,group,2168693,1893
sih,CNES,group,2168707,5070
sih,CNES,group,2168731,3728
sih,CNES,group,2171945,8859
sih,CNES,group,2171988,2371
sih,CNES,group,2172259,4296
sih,CNES,group,2172836,1480
sih,CNES,group,2172852,1423
sih,CNES,group,2172860,1104
sih,CNES,group,2173166,20545
sih,CNES,group,2173565,574
sih,CNES,group,2178591,3724
sih,CNES,group,2178648,161
sih,CNES,group,2178850,517
sih,CNES,group,2178982,1303
sih,CNES,group,2178990,158
sih,CNES,group,2179172,1276
sih,CNES,group,2179237,80
sih,CNES,group,2179571,22
sih,CNES,group,2179628,620
sih,CNES,group,2180731,814
sih,CNES,group,2180758,3
sih,CNES,group,2181029,1228
sih,CNES,group,2182610,824
sih,CNES,group,2183803,4547
sih,CNES,group,2183811,2076
sih,CNES,group,2184680,152
sih,CNES,group,2184834,163
sih,CNES,group,2185563,3264
sih,CNES,group,2186276,125
sih,CNES,group,2186292,257
sih,CNES,group,2191164,19084
sih,CNES,group,2192020,5123
sih,CNES,group,2192128,1460
sih,CNES,group,2192896,19649
sih,CNES,group,2194651,181
sih,CNES,group,2194937,6
sih,CNES,group,2195224,288
sih,CNES,group,2195437,9766
sih,CNES,group,2195585,9008
sih,CNES,group,2196972,7066
sih,CNES,group,2197693,2357
sih,CNES,group,2200481,2184
sih,CNES,group,2200902,7815
sih,CNES,group,2200945,6412
sih,CNES,group,2201402,25
sih,CNES,group,2202638,34
sih,CNES,group,2202883,16
sih,CNES,group,2202891,3097
sih,CNES,group,2204622,10509
sih,CNES,group,2204649,7327
sih,CNES,group,2205009,552
sih,CNES,group,2205440,34670
sih,CNES,group,2205866,1234
sih,CNES,group,2205882,1176
sih,CNES,group,2205890,39
sih,CNES,group,2205904,2667
sih,CNES,group,2205939,13542
sih,CNES,group,2205971,4404
sih,CNES,group,2205998,5804
sih,CNES,group,2206064,8091
sih,CNES,group,2206382,180
sih,CNES,group,2206498,3571
sih,CNES,group,2206501,2707
sih,CNES,group,2206528,24697
sih,CNES,group,2206552,355
sih,CNES,group,2206595,3074
sih,CNES,group,2207664,1737
sih,CNES,group,2208040,3839
sih,CNES,group,2208067,1196
sih,CNES,group,2208075,4038
sih,CNES,group,2208083,2576
sih,CNES,group,2208172,16736
sih,CNES,group,2208822,1906
sih,CNES,group,2208849,17
sih,CNES,group,2208857,7362
sih,CNES,group,2209195,9019
sih,CNES,group,2210924,1
sih,CNES,group,2211262,4560
sih,CNES,group,2213516,15
sih,CNES,group,2213958,78
sih,CNES,group,2213982,3556
sih,CNES,group,2215586,9094
sih,CNES,group,2218690,4112
sih,CNES,group,2219638,2577
sih,CNES,group,2219654,10885
sih,CNES,group,2221543,2884
sih,CNES,group,2221772,6274
sih,CNES,group,2221985,861
sih,CNES,group,2222043,17469
sih,CNES,group,2223538,15971
sih,CNES,group,2223546,14138
sih,CNES,group,2224607,29
sih,CNES,group,2224615,98
sih,CNES,group,2227665,1525
sih,CNES,group,2227673,1236
sih,CNES,group,2227681,120
sih,CNES,group,2227703,21
sih,CNES,group,2227711,69
sih,CNES,group,2227754,3
sih,CNES,group,2227762,8407
