res_cod_municipio,int_cod_municipio,records
241220,241220,4230
230240,230240,4225
150548,150548,4224
350960,350960,4217
420480,420480,4216
311940,313130,4208
291950,291950,4206
420590,420590,4205
290590,290590,4203
261250,261250,4200
250180,250750,4188
290650,290650,4185
350210,350210,4154
352680,352680,4154
310710,310710,4144
412410,412410,4140
260345,260345,4132
421500,421500,4124
352240,352240,4092
330610,330610,4086
320500,320130,4078
231050,231050,4077
310860,310860,4063
230470,230470,4061
150120,150120,4060
351960,351960,4058
510515,510515,4057
330030,330030,4044
312870,312870,4043
260420,261000,4039
210820,210820,4031
230580,230580,4026
130100,130100,4024
354970,354970,4023
150405,150405,4018
220700,220700,4017
310740,310740,4004
211290,211290,3993
510840,510840,3974
315700,315700,3965
150309,150309,3962
430460,431490,3962
291060,291060,3959
316800,316800,3954
240260,240810,3951
500330,500330,3950
240310,240310,3944
351060,350570,3933
430440,430440,3932
291320,291320,3923
220120,220120,3912
320390,320390,3907
510642,510642,3905
290720,290720,3901
431830,431830,3898
412560,412560,3896
420550,420550,3896
411580,411580,3888
350900,350900,3881
280320,280030,3876
420830,420200,3868
316370,316370,3858
260280,260120,3847
500560,500560,3826
355645,351300,3819
260050,260050,3815
291700,291700,3810
292810,292810,3802
431060,431060,3800
292800,292800,3792
251250,250400,3788
315780,315780,3781
230800,231290,3778
520620,520620,3767
311530,311530,3759
352320,352320,3750
291120,291120,3742
510267,510267,3740
354070,354070,3725
316210,316210,3699
130230,130230,3697
240940,240940,3690
261260,261260,3686
130050,130050,3685
430450,430450,3674
110015,110015,3670
260570,260570,3665
311800,311800,3664
352040,352040,3662
211010,211010,3659
312980,310620,3659
150085,150085,3654
421190,420540,3651
261070,261160,3650
150600,150600,3646
352310,355030,3641
330455,330045,3632
230075,230640,3622
150803,150170,3613
330170,330510,3601
231020,231020,3599
313250,313250,3599
311120,311120,3596
351550,351550,3596
280300,280210,3595
150520,150520,3594
150812,150812,3594
354730,350570,3583
170220,170255,3574
150345,150345,3569
351640,351640,3568
292720,292720,3561
430790,430790,3557
220790,220790,3553
270880,270030,3553
500769,500769,3538
421620,421620,3529
355370,355370,3528
220040,221100,3527
292510,292510,3527
314430,314430,3520
330350,330510,3518
230190,230190,3515
150150,150442,3513
420730,420730,3510
240260,240260,3503
510263,510263,3498
351040,351040,3496
150503,150503,3489
211060,211060,3478
354330,354330,3477
354640,354640,3456
150790,150790,3453
430920,431490,3452
353670,353670,3451
432120,432120,3448
291440,291440,3447
430676,431490,3441
313190,313190,3440
220830,220830,3437
150445,150445,3436
290210,290210,3436
431740,431740,3432
500240,500240,3431
291465,291465,3415
293015,293015,3410
411930,411930,3399
310340,310340,3398
220570,220770,3394
210095,210095,3392
290687,290687,3386
411330,411330,3385
230210,230210,3384
420360,420360,3382
231350,230640,3380
510170,510170,3379
353550,353550,3376
500720,500720,3376
210200,210200,3374
240710,240810,3374
270040,270430,3371
410980,410980,3371
210290,210290,3354
160060,160030,3341
292300,292300,3338
292370,292370,3338
430660,430660,3334
320280,320280,3332
270850,270430,3330
521930,521930,3327
293190,293190,3326
500210,500210,3322
354130,354130,3314
221110,221110,3305
292990,292990,3304
353760,353760,3301
312430,312430,3293
510675,510675,3286
410960,410960,3284
312800,312800,3275
210632,210467,3266
211220,221100,3266
330510,330045,3264
230850,230850,3262
230440,230428,3259
150770,150770,3248
251530,250750,3244
355640,355640,3234
290930,290930,3227
510510,510510,3226
251370,250750,3216
231240,231240,3213
250460,250750,3211
220290,220290,3200
210100,210100,3197
280060,280030,3194
292120,292120,3193
260620,260620,3186
290710,290710,3186
211210,211210,3185
320130,320520,3177
150178,150810,3171
260520,260520,3167
330414,330285,3167
431350,431350,3167
150295,150295,3156
352930,352930,3156
500630,500630,3156
354940,354940,3153
521830,521830,3149
330350,330455,3146
352400,352400,3145
315200,315200,3129
320455,320455,3129
311940,316870,3125
320410,320410,3123
280740,280350,3117
351930,351930,3116
130390,130390,3109
250830,250400,3098
150320,150240,3091
355030,351380,3090
510410,510410,3090
261360,261360,3085
350925,353620,3084
330370,330600,3081
330414,330350,3074
421360,421360,3067
431640,431640,3066
290280,290280,3057
260280,260280,3056
130130,130130,3051
521000,521000,3050
210047,210047,3049
291350,291350,3048
351860,351860,3045
150745,150745,3044
260890,260890,3044
170930,170930,3040
292890,292890,3037
221120,221120,3036
431390,431390,3034
130370,130370,3031
260210,260210,3030
270260,270030,3029
292930,291080,3029
352730,352730,3026
430760,430760,3026
351830,351830,3020
270690,270430,3013
320160,320490,3012
315150,315150,3006
260005,260005,3000
291810,290160,3000
320305,320305,2999
355670,355670,2999
330320,330285,2997
350070,350070,2989
352620,352220,2989
310150,310150,2986
314870,314870,2981
270235,270030,2980
320332,320280,2980
250320,250750,2971
330020,330550,2971
520880,520870,2964
230750,230750,2962
150760,150240,2959
