CNES,records
2081970,6628
2337142,6625
2532549,6612
2330962,6603
2205998,6596
6485960,6587
2808609,6567
2024756,6561
2164736,6558
6553567,6532
2604388,6511
2557118,6494
0000057,6490
2080044,6490
2087219,6489
3165019,6480
3972976,6474
2473046,6466
2235323,6450
2765640,6446
2079925,6437
2227665,6436
2392380,6428
2711362,6426
2694530,6406
2314819,6382
4026640,6374
2377829,6358
2208040,6343
7659415,6341
6250564,6328
2751704,6312
2346621,6303
2168707,6299
2532190,6296
2462184,6285
2313367,6282
2328992,6279
2476444,6271
0010529,6270
2023474,6269
2011905,6255
4069803,6225
5248043,6224
3314766,6222
2460254,6194
2081865,6190
2711184,6190
2081938,6184
2403331,6183
2517124,6177
2665190,6164
2159384,6162
2139014,6144
2312123,6131
2760843,6131
2691884,6110
3987957,6106
2081032,6099
2601710,6085
2696924,6081
2752654,6078
6683134,6076
9336508,6072
2317397,6071
2093332,6048
2496879,6046
2081040,6039
2312050,6039
2298090,6024
2696851,6023
2000636,6021
2646943,6015
2748568,6014
2498421,6009
2139073,5991
2097605,5989
2023148,5985
2081016,5977
4004787,5972
2534584,5968
2007037,5960
2078295,5960
2337576,5956
2340712,5952
2387727,5950
6433219,5944
2151847,5936
2412381,5935
2626659,5926
2379767,5921
2509369,5903
2498804,5901
5654335,5900
2096196,5890
2246953,5878
3042529,5868
2518988,5861
2742071,5859
2672197,5858
2343746,5851
2742098,5848
2521695,5843
2666723,5836
2621592,5834
2455145,5831
2627418,5829
2587343,5816
2323915,5811
2530473,5810
7551584,5807
2296977,5802
2454947,5793
2461277,5770
2318865,5730
2464454,5726
2665883,5719
2447029,5718
2017245,5717
2396106,5712
3294889,5710
2313049,5704
2269783,5696
2387581,5693
3061388,5692
2562871,5685
2382792,5684
2338424,5683
2082322,5663
2750988,5663
2764865,5663
4068823,5663
2080729,5617
2472414,5611
2562154,5601
2227959,5585
2250837,5571
2783800,5560
2205971,5548
2331748,5546
2602083,5538
6426190,5534
5223962,5512
2460831,5510
2691485,5510
2254956,5508
2017555,5502
2017717,5490
2012499,5483
2601729,5474
2371588,5472
2371243,5464
2183803,5460
6635148,5455
2473577,5453
2479028,5452
2776006,5445
2487616,5432
2676192,5429
2287382,5428
2436310,5423
2246961,5408
2664666,5406
2083094,5402
2533057,5402
2164299,5399
2082640,5397
2687038,5396
2375850,5395
2462753,5383
2515504,5378
2428369,5373
2549751,5373
2144638,5367
2735970,5364
2310821,5355
2455706,5355
2083175,5351
2232928,5348
2283239,5348
2227932,5317
3978044,5308
2318180,5306
5095808,5301
2278901,5297
2081350,5294
2086336,5287
2144298,5287
6205224,5286
2172259,5282
2699842,5272
2079976,5256
2558459,5256
3220966,5255
2333899,5246
2316021,5243
2077647,5239
2081202,5228
2611236,5227
2139049,5223
2228726,5223
2614634,5222
2081903,5213
2304325,5212
3506959,5212
2775972,5210
2472457,5200
2775956,5194
2297434,5182
2470748,5181
2083051,5174
2016125,5171
2397676,5166
2531801,5161
2677431,5161
2538180,5155
2248271,5148
2590727,5139
2765659,5134
0017868,5116
2088487,5109
2593912,5096
2233312,5094
2809532,5087
2509377,5081
3024660,5075
2004976,5072
2082519,5070
2082098,5067
2696940,5058
6074502,5051
7321252,5044
7202253,5030
2083019,5026
0026727,5015
2751003,5014
2132877,5000
2273438,4998
2402882,4988
2699915,4986
2407566,4980
2704587,4974
2078341,4971
6106005,4971
4029526,4963
2442477,4940
2012383,4936
2711850,4930
2081091,4924
7459831,4924
2800950,4918
6427138,4911
2117290,4907
2078023,4906
2385880,4906
2252341,4904
3012034,4903
3529673,4892
2078619,4888
2615770,4882
2616211,4878
2383896,4861
2244284,4860
2165481,4858
2197022,4842
2078139,4836
2751623,4835
5515483,4835
2799804,4828
3567664,4823
2079569,4818
2248239,4809
2597314,4803
2726734,4798
2686961,4797
2454904,4791
2571242,4787
2211262,4785
2733307,4781
2751038,4780
2081873,4779
6463045,4772
0012505,4767
2078368,4758
2707632,4754
2324288,4753
2615843,4751
2168693,4748
5922216,4746
2397463,4744
2711885,4732
2228602,4731
2677407,4729
3006131,4728
2716275,4725
2235609,4724
2601583,4722
2122677,4713
2080818,4707
2392410,4693
2333430,4690
2235404,4680
2560828,4662
2616491,4658
2314002,4656
4006429,4636
2330938,4626
2206498,4622
2115786,4621
2252244,4621
2078902,4617
2082314,4615
2499568,4610
2364913,4607
2711966,4605
2100681,4604
4053907,4602
2516764,4599
2084090,4591
2598213,4589
2486199,4584
2644711,4578
