CNES,records
2536293,2939
2144638,2938
2418967,2938
2677571,2938
2757214,2938
2806339,2937
2814056,2935
2115786,2932
7152566,2931
2278855,2928
2342170,2926
6847579,2923
2538180,2921
2687038,2920
2808617,2916
2082748,2904
2233398,2904
2011905,2895
2557207,2890
2646544,2889
2447886,2888
2361078,2887
2221543,2883
2021463,2882
2370816,2882
2398125,2869
2462095,2867
2603292,2867
2352133,2858
2530473,2858
2317028,2854
2639246,2852
2102765,2849
2323923,2849
2331292,2845
2704587,2840
2561344,2838
2312174,2835
2374064,2834
2079976,2831
2514729,2828
2023016,2821
2078023,2820
2561328,2810
2786095,2809
2722844,2794
2344289,2790
4069099,2789
2720043,2776
2023644,2771
2572818,2771
2741873,2770
2013614,2769
2288109,2751
2514311,2751
2455625,2746
2058308,2736
2083493,2734
2796392,2731
2603012,2727
2139030,2726
6710158,2725
2080443,2720
2819139,2719
2453347,2708
2206501,2706
7366108,2702
2412551,2693
2228726,2692
2383233,2689
6602533,2686
7274351,2686
2267209,2685
2102587,2682
2084430,2681
2079836,2677
2801922,2674
2234432,2668
2205904,2664
2677598,2644
4028740,2635
2561395,2625
2638835,2625
2307898,2623
2234416,2618
2267187,2611
2600331,2610
2639122,2607
2013320,2606
2078139,2606
6500552,2600
2696924,2591
2557509,2587
2145685,2581
2699850,2581
2132877,2577
2219638,2577
2208083,2574
2461005,2573
2451425,2572
2791676,2572
2814048,2568
3048209,2567
2093332,2562
0017612,2559
2235404,2556
2594277,2554
2710463,2554
2084422,2548
2751623,2547
2321637,2535
2532530,2534
2760703,2534
2082632,2531
7321252,2527
2639068,2525
2562138,2520
2317990,2518
2619946,2518
2081695,2515
4020510,2515
2402874,2512
4004787,2512
6677207,2502
2322706,2501
4029607,2500
2703025,2498
2461285,2496
2478080,2495
2452804,2493
2795299,2493
5525047,2493
2379163,2491
2078902,2476
2553155,2475
2438313,2470
2338424,2466
2144204,2463
2653699,2462
2558017,2457
2120410,2455
2397684,2449
2316048,2448
2099454,2446
2314436,2446
2418673,2445
7470371,2435
2119455,2430
2652757,2430
2674513,2430
2088487,2423
2777754,2419
0010502,2412
2003570,2412
2012839,2407
2590727,2406
2012618,2403
5572924,2403
